Updated Account Site Import
ID;NAME;SITE
0015w00002DLlJaAAL;United Oil & Gas Corp.;US-East
0015w00002DLlJbAAL;Express Logistics and Transport;US-Midwest
0015w00002DLlJcAAL;University of Arizona;US-South
0015w00002DLlJdAAL;United Oil & Gas, UK;US-West
0015w00002DLlJeAAL;United Oil & Gas, Singapore;US-West
0015w00002DLlJfAAL;GenePoint;US-Midwest
0015w00002DLlJVAA1;Edge Communications;EMEA
0015w00002DLlJWAA1;Burlington Textiles Corp of America;APAC
0015w00002DLlJXAA1;Pyramid Construction Inc.;EMEA
0015w00002DLlJYAA1;Dickenson plc;US-East
0015w00002DLlJZAA1;Grand Hotels & Resorts Ltd;US-West
0015w00002Dou97AAB;Get Cloudy;Single Location
